K,MASS,SPIN,MU,MU_ERR,Q,Q_ERR,A_Lower,A_upper,Isotope_shift,I_shift_err,IS_abs
38,37.96908112,3,0,0,0,0,404.3,48.9,-990,,
39,38.96370649,1.5,0.39147,0.00003,0,0,231,27.8,-862,0,
40,39.96399817,4,-1.2981,0.0003,-0.073,0.001,-281.73,-34.49,-737,0.6,
41,40.96182526,1.5,0.2148701,0.0000002,0.0711,0.0007,126,15,-627.5,0,
42,41.96240231,2,0,0,0,0,-503.2,-61.2,-500,,
43,42.9607347,1.5,0,0,0,0,96,11.5,-398,0,0
44,43.961587,2,0,0,0,0,-378.9,-45.8,-292,0,0
45,44.9606915,1.5,0,0,0,0,102.259,12.314,-195,,
46,45.9619816,2,0,0,0,0,-462.8,-55.9,-91,,
47,46.9616616,0.5,1.933,0.009,0,0,3413.2,411.8,0,0,0
48,47.9653412,1,0,0,0,0,-795.9,-96.3,69.8,0.4,68.8
49,48.9682108,0.5,1.3386,0.0008,0,0,2368.2,285.6,136,0.8,66.2
50,49.97238,0,0,0,0,0,0,0,208,0.8,72
51,50.975828,1.5,0.513,0.002,0,0,302.5,36.6,275,1.3,67
52,51.9816,2,0,0,0,0,537.8,64.8886,305,4.5,30
53,52.9868,1.5,0,0,0,0,406.9,49.06,335,4.5,30
52,51.9816,2,0,0,0,0,537.8,64.8886,325,4.5,50
53,52.9868,1.5,0,0,0,0,406.9,49.06,375,4.5,50
52,51.9816,2,0,0,0,0,537.8,64.8886,345,4.5,70
53,52.9868,1.5,0,0,0,0,406.9,49.06,415,4.5,70
52,51.9816,2,0,0,0,0,537.8,64.8886,365,4.5,90
53,52.9868,1.5,0,0,0,0,406.9,49.06,455,4.5,90
